Date, X, Y, Z
A.D. 2023-Jan-01 00:00:00.0000 TDB, 199873, 84210.85, 198728.7
A.D. 2023-Jan-02 00:00:00.0000 TDB, 199829.4, 84226.31, 198762.6
A.D. 2023-Jan-03 00:00:00.0000 TDB, 199785.8, 84241.76, 198796.5
A.D. 2023-Jan-04 00:00:00.0000 TDB, 199742.1, 84257.21, 198830.3
A.D. 2023-Jan-05 00:00:00.0000 TDB, 199698.5, 84272.66, 198864.2
A.D. 2023-Jan-06 00:00:00.0000 TDB, 199654.9, 84288.09, 198898.1
A.D. 2023-Jan-07 00:00:00.0000 TDB, 199611.2, 84303.54, 198931.9
A.D. 2023-Jan-08 00:00:00.0000 TDB, 199567.6, 84318.98, 198965.7
A.D. 2023-Jan-09 00:00:00.0000 TDB, 199523.9, 84334.41, 198999.6
A.D. 2023-Jan-10 00:00:00.0000 TDB, 199480.3, 84349.84, 199033.4
A.D. 2023-Jan-11 00:00:00.0000 TDB, 199436.6, 84365.27, 199067.2
A.D. 2023-Jan-12 00:00:00.0000 TDB, 199392.9, 84380.69, 199101
A.D. 2023-Jan-13 00:00:00.0000 TDB, 199349.2, 84396.11, 199134.8
A.D. 2023-Jan-14 00:00:00.0000 TDB, 199305.5, 84411.52, 199168.6
A.D. 2023-Jan-15 00:00:00.0000 TDB, 199261.8, 84426.94, 199202.4
A.D. 2023-Jan-16 00:00:00.0000 TDB, 199218.1, 84442.34, 199236.1
A.D. 2023-Jan-17 00:00:00.0000 TDB, 199174.3, 84457.75, 199269.9
A.D. 2023-Jan-18 00:00:00.0000 TDB, 199130.6, 84473.16, 199303.7
A.D. 2023-Jan-19 00:00:00.0000 TDB, 199086.9, 84488.55, 199337.4
A.D. 2023-Jan-20 00:00:00.0000 TDB, 199043.1, 84503.95, 199371.2
A.D. 2023-Jan-21 00:00:00.0000 TDB, 198999.4, 84519.34, 199404.9
A.D. 2023-Jan-22 00:00:00.0000 TDB, 198955.6, 84534.74, 199438.6
A.D. 2023-Jan-23 00:00:00.0000 TDB, 198911.9, 84550.13, 199472.3
A.D. 2023-Jan-24 00:00:00.0000 TDB, 198868.1, 84565.51, 199506
A.D. 2023-Jan-25 00:00:00.0000 TDB, 198824.3, 84580.89, 199539.7
A.D. 2023-Jan-26 00:00:00.0000 TDB, 198780.5, 84596.27, 199573.4
A.D. 2023-Jan-27 00:00:00.0000 TDB, 198736.7, 84611.64, 199607.1
A.D. 2023-Jan-28 00:00:00.0000 TDB, 198692.9, 84627.01, 199640.8
A.D. 2023-Jan-29 00:00:00.0000 TDB, 198649.1, 84642.38, 199674.5
