Date, X, Y, Z
A.D. 1900-Jan-01 00:00:00.0000 TDB, -5747.482, -624.123, -2277.732
A.D. 1900-Jan-02 00:00:00.0000 TDB, -5660.263, -803.7514, -2597.107
A.D. 1900-Jan-03 00:00:00.0000 TDB, -5551.1, -980.1533, -2906.166
A.D. 1900-Jan-04 00:00:00.0000 TDB, -5421.072, -1152.77, -3204.073
A.D. 1900-Jan-05 00:00:00.0000 TDB, -5271.25, -1321.085, -3490.069
A.D. 1900-Jan-06 00:00:00.0000 TDB, -5102.697, -1484.622, -3763.469
A.D. 1900-Jan-07 00:00:00.0000 TDB, -4916.465, -1642.94, -4023.652
A.D. 1900-Jan-08 00:00:00.0000 TDB, -4713.591, -1795.629, -4270.053
A.D. 1900-Jan-09 00:00:00.0000 TDB, -4495.101, -1942.31, -4502.162
A.D. 1900-Jan-10 00:00:00.0000 TDB, -4262.005, -2082.63, -4719.514
A.D. 1900-Jan-11 00:00:00.0000 TDB, -4015.304, -2216.259, -4921.687
A.D. 1900-Jan-12 00:00:00.0000 TDB, -3755.983, -2342.891, -5108.298
A.D. 1900-Jan-13 00:00:00.0000 TDB, -3485.018, -2462.238, -5278.999
A.D. 1900-Jan-14 00:00:00.0000 TDB, -3203.375, -2574.03, -5433.472
A.D. 1900-Jan-15 00:00:00.0000 TDB, -2912.011, -2678.014, -5571.43
A.D. 1900-Jan-16 00:00:00.0000 TDB, -2611.878, -2773.951, -5692.611
A.D. 1900-Jan-17 00:00:00.0000 TDB, -2303.922, -2861.617, -5796.778
A.D. 1900-Jan-18 00:00:00.0000 TDB, -1989.087, -2940.798, -5883.717
A.D. 1900-Jan-19 00:00:00.0000 TDB, -1668.317, -3011.295, -5953.237
A.D. 1900-Jan-20 00:00:00.0000 TDB, -1342.557, -3072.917, -6005.165
A.D. 1900-Jan-21 00:00:00.0000 TDB, -1012.755, -3125.484, -6039.349
A.D. 1900-Jan-22 00:00:00.0000 TDB, -679.8677, -3168.827, -6055.659
A.D. 1900-Jan-23 00:00:00.0000 TDB, -344.8584, -3202.785, -6053.981
A.D. 1900-Jan-24 00:00:00.0000 TDB, -8.702139, -3227.208, -6034.223
A.D. 1900-Jan-25 00:00:00.0000 TDB, 327.6121, -3241.954, -5996.312
A.D. 1900-Jan-26 00:00:00.0000 TDB, 663.079, -3246.891, -5940.197
A.D. 1900-Jan-27 00:00:00.0000 TDB, 996.6743, -3241.898, -5865.85
A.D. 1900-Jan-28 00:00:00.0000 TDB, 1327.352, -3226.863, -5773.267
A.D. 1900-Jan-29 00:00:00.0000 TDB, 1654.041, -3201.687, -5662.468
A.D. 1900-Jan-30 00:00:00.0000 TDB, 1975.644, -3166.281, -5533.505
A.D. 1900-Jan-31 00:00:00.0000 TDB, 2291.033, -3120.574, -5386.459
A.D. 1900-Feb-01 00:00:00.0000 TDB, 2599.047, -3064.507, -5221.45
A.D. 1900-Feb-02 00:00:00.0000 TDB, 2898.488, -2998.039, -5038.632
A.D. 1900-Feb-03 00:00:00.0000 TDB, 3188.124, -2921.149, -4838.207
A.D. 1900-Feb-04 00:00:00.0000 TDB, 3466.678, -2833.839, -4620.426
A.D. 1900-Feb-05 00:00:00.0000 TDB, 3732.835, -2736.134, -4385.594
A.D. 1900-Feb-06 00:00:00.0000 TDB, 3985.233, -2628.091, -4134.082
A.D. 1900-Feb-07 00:00:00.0000 TDB, 4222.465, -2509.799, -3866.33
A.D. 1900-Feb-08 00:00:00.0000 TDB, 4443.083, -2381.385, -3582.86
A.D. 1900-Feb-09 00:00:00.0000 TDB, 4645.588, -2243.021, -3284.283
A.D. 1900-Feb-10 00:00:00.0000 TDB, 4828.446, -2094.928, -2971.313
A.D. 1900-Feb-11 00:00:00.0000 TDB, 4990.08, -1937.384, -2644.777
A.D. 1900-Feb-12 00:00:00.0000 TDB, 5128.881, -1770.733, -2305.633
A.D. 1900-Feb-13 00:00:00.0000 TDB, 5243.216, -1595.39, -1954.979
A.D. 1900-Feb-14 00:00:00.0000 TDB, 5331.442, -1411.857, -1594.071
A.D. 1900-Feb-15 00:00:00.0000 TDB, 5391.914, -1220.726, -1224.341
A.D. 1900-Feb-16 00:00:00.0000 TDB, 5423.012, -1022.695, -847.4089
A.D. 1900-Feb-17 00:00:00.0000 TDB, 5423.164, -818.5743, -465.1012
A.D. 1900-Feb-18 00:00:00.0000 TDB, 5390.874, -609.3019, -79.46362
A.D. 1900-Feb-19 00:00:00.0000 TDB, 5324.764, -395.9494, 307.228
A.D. 1900-Feb-20 00:00:00.0000 TDB, 5223.614, -179.7319, 692.4603
A.D. 1900-Feb-21 00:00:00.0000 TDB, 5086.415, 37.98611, 1073.482
A.D. 1900-Feb-22 00:00:00.0000 TDB, 4912.43, 255.6895, 1447.312
A.D. 1900-Feb-23 00:00:00.0000 TDB, 4701.249, 471.715, 1810.755
