Date, X, Y, Z
A.D. 2023-Jan-01 00:00:00.0000 TDB, 72243.34, 15016.25, 4677.986
A.D. 2023-Jan-02 00:00:00.0000 TDB, 72218.08, 15122.29, 4724.052
A.D. 2023-Jan-03 00:00:00.0000 TDB, 72192.65, 15228.29, 4770.104
A.D. 2023-Jan-04 00:00:00.0000 TDB, 72167.03, 15334.24, 4816.143
A.D. 2023-Jan-05 00:00:00.0000 TDB, 72141.26, 15440.17, 4862.174
A.D. 2023-Jan-06 00:00:00.0000 TDB, 72115.3, 15546.06, 4908.193
A.D. 2023-Jan-07 00:00:00.0000 TDB, 72089.15, 15651.91, 4954.203
A.D. 2023-Jan-08 00:00:00.0000 TDB, 72062.84, 15757.72, 5000.195
A.D. 2023-Jan-09 00:00:00.0000 TDB, 72036.34, 15863.49, 5046.176
A.D. 2023-Jan-10 00:00:00.0000 TDB, 72009.68, 15969.21, 5092.142
A.D. 2023-Jan-11 00:00:00.0000 TDB, 71982.84, 16074.9, 5138.095
A.D. 2023-Jan-12 00:00:00.0000 TDB, 71955.84, 16180.55, 5184.04
A.D. 2023-Jan-13 00:00:00.0000 TDB, 71928.66, 16286.17, 5229.974
A.D. 2023-Jan-14 00:00:00.0000 TDB, 71901.29, 16391.76, 5275.899
A.D. 2023-Jan-15 00:00:00.0000 TDB, 71873.74, 16497.3, 5321.807
A.D. 2023-Jan-16 00:00:00.0000 TDB, 71846.02, 16602.8, 5367.703
A.D. 2023-Jan-17 00:00:00.0000 TDB, 71818.13, 16708.25, 5413.583
A.D. 2023-Jan-18 00:00:00.0000 TDB, 71790.05, 16813.67, 5459.449
A.D. 2023-Jan-19 00:00:00.0000 TDB, 71761.81, 16919.04, 5505.303
A.D. 2023-Jan-20 00:00:00.0000 TDB, 71733.39, 17024.38, 5551.146
A.D. 2023-Jan-21 00:00:00.0000 TDB, 71704.8, 17129.68, 5596.979
A.D. 2023-Jan-22 00:00:00.0000 TDB, 71676.02, 17234.93, 5642.791
A.D. 2023-Jan-23 00:00:00.0000 TDB, 71647.05, 17340.13, 5688.591
A.D. 2023-Jan-24 00:00:00.0000 TDB, 71617.93, 17445.29, 5734.373
A.D. 2023-Jan-25 00:00:00.0000 TDB, 71588.63, 17550.4, 5780.141
A.D. 2023-Jan-26 00:00:00.0000 TDB, 71559.17, 17655.47, 5825.895
A.D. 2023-Jan-27 00:00:00.0000 TDB, 71529.54, 17760.51, 5871.638
A.D. 2023-Jan-28 00:00:00.0000 TDB, 71499.72, 17865.51, 5917.373
A.D. 2023-Jan-29 00:00:00.0000 TDB, 71469.72, 17970.46, 5963.087
A.D. 2023-Jan-30 00:00:00.0000 TDB, 71439.55, 18075.37, 6008.789
A.D. 2023-Jan-31 00:00:00.0000 TDB, 71409.2, 18180.23, 6054.473
A.D. 2023-Feb-01 00:00:00.0000 TDB, 71378.68, 18285.05, 6100.144
A.D. 2023-Feb-02 00:00:00.0000 TDB, 71348, 18389.82, 6145.798
A.D. 2023-Feb-03 00:00:00.0000 TDB, 71317.14, 18494.55, 6191.442
A.D. 2023-Feb-04 00:00:00.0000 TDB, 71286.1, 18599.25, 6237.075
A.D. 2023-Feb-05 00:00:00.0000 TDB, 71254.88, 18703.89, 6282.687
A.D. 2023-Feb-06 00:00:00.0000 TDB, 71223.48, 18808.48, 6328.284
A.D. 2023-Feb-07 00:00:00.0000 TDB, 71191.91, 18913.02, 6373.862
A.D. 2023-Feb-08 00:00:00.0000 TDB, 71160.16, 19017.52, 6419.424
A.D. 2023-Feb-09 00:00:00.0000 TDB, 71128.26, 19121.96, 6464.968
A.D. 2023-Feb-10 00:00:00.0000 TDB, 71096.17, 19226.37, 6510.5
A.D. 2023-Feb-11 00:00:00.0000 TDB, 71063.92, 19330.73, 6556.021
A.D. 2023-Feb-12 00:00:00.0000 TDB, 71031.48, 19435.04, 6601.521
A.D. 2023-Feb-13 00:00:00.0000 TDB, 70998.88, 19539.31, 6647.006
A.D. 2023-Feb-14 00:00:00.0000 TDB, 70966.09, 19643.52, 6692.472
A.D. 2023-Feb-15 00:00:00.0000 TDB, 70933.14, 19747.69, 6737.924
A.D. 2023-Feb-16 00:00:00.0000 TDB, 70900.02, 19851.8, 6783.356
A.D. 2023-Feb-17 00:00:00.0000 TDB, 70866.73, 19955.88, 6828.778
A.D. 2023-Feb-18 00:00:00.0000 TDB, 70833.27, 20059.91, 6874.187
A.D. 2023-Feb-19 00:00:00.0000 TDB, 70799.63, 20163.89, 6919.576
A.D. 2023-Feb-20 00:00:00.0000 TDB, 70765.8, 20267.83, 6964.949
A.D. 2023-Feb-21 00:00:00.0000 TDB, 70731.8, 20371.7, 7010.3
A.D. 2023-Feb-22 00:00:00.0000 TDB, 70697.63, 20475.53, 7055.635
A.D. 2023-Feb-23 00:00:00.0000 TDB, 70663.3, 20579.3, 7100.949
A.D. 2023-Feb-24 00:00:00.0000 TDB, 70628.79, 20683.03, 7146.25
A.D. 2023-Feb-25 00:00:00.0000 TDB, 70594.11, 20786.71, 7191.535
A.D. 2023-Feb-26 00:00:00.0000 TDB, 70559.24, 20890.33, 7236.802
A.D. 2023-Feb-27 00:00:00.0000 TDB, 70524.22, 20993.91, 7282.05
A.D. 2023-Feb-28 00:00:00.0000 TDB, 70489.01, 21097.43, 7327.277
A.D. 2023-Mar-01 00:00:00.0000 TDB, 70453.65, 21200.89, 7372.488
A.D. 2023-Mar-02 00:00:00.0000 TDB, 70418.11, 21304.3, 7417.676
A.D. 2023-Mar-03 00:00:00.0000 TDB, 70382.4, 21407.67, 7462.852
A.D. 2023-Mar-04 00:00:00.0000 TDB, 70346.53, 21510.99, 7508.013
A.D. 2023-Mar-05 00:00:00.0000 TDB, 70310.47, 21614.26, 7553.157
